Title,Rental_Price,Location,Beds,Baths,Super Built-up Area,Status,Furnished Status,Rental Value,Address,Furnishing,link,Balconies,Carpet Area,Project,Floor,Facing,Lift,Age Of Construction,Security Deposit,Landmarks,Flooring,Overlooking,Age of Construction,Water Availability,Status of Electricity,Price,Developer,Additional Rooms,Amenities,Price per sqft,Configuration,Tower & Unit,Balcony,Floors allowed for construction,Covered Parking,Lifts,Car parking,Authority Approval,Bed,Tower,Unit,Bath,Type of Ownership,RERA ID,Plot Area,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved
"3 BHK Flat 1900 Sq-ft For Rent in Orchid Woods,","₹52,000","Makarba, Ahmedabad",3.0,3.0,1900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,,Furnished,"₹52,000|₹12,600Quarterly Maintenance","Makarba, Ahmedabad - West, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1900-Sq-ft-Multistorey-Apartment-FOR-Rent-Makarba-in-Ahmedabad&id=4d423833373833393131,,,Orchid Woods,4(Out of 11 Floors),South - East,,10 to 15 years,₹1.0 Lac,,,"Garden/Park, Main Road",10 to 15 years,,,₹ 1.30 Cr - ₹ 1.62 Cr,Goyal & Co.,,,,"3, 4 BHK Flat","2 Towers , 96 Units",1.0,,,,,,,,,,,,,,,,,
"3 BHK Flat 1730 Sq-ft For Rent in Vishwanath Maher Select,","₹28,000","Shela, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹28,000","E-302, Maher Select, Maher Street, Near Club O7, Shela, Ahmedabad, Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1730-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423833353235353935,,952sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹29/sqft,Vishwanath Maher Select,3(Out of 14 Floors),,,New Construction,"₹56, 000",,,,New Construction,,,₹ 85.0 Lac Onwards,Vishwanath Builders,,"Kids Splash Pool,Badminton court,Fire Fighting Equipment,Indoor Games Room,AEROBICS ROOM,Library,Kids play area,Solar Energy,Premium branded fittings,Fingerprint Access,Large Clubhouse,Located in the Heart of city,Earth quake resistant,DTH Television Facility,Waste Disposal,Maintenance Staff,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up","₹ 3,900 - ₹ 9,698",3 BHK Flats,"11 Towers , 616 Units",1.0,,,,,,,,,,,,,,,,,
"2 BHK Flat 1143 Sq-ft For Rent in Sai Green Valley 2,","₹25,000","Bopal, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹25,000|₹2,000Monthly Maintenance","C-601, Sai Green Valley 2, Bopal, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1143-Sq-ft-Multistorey-Apartment-FOR-Rent-Bopal-in-Ahmedabad&id=4d423833373838373639,2.0,1143sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,Sai Green Valley 2,6(Out of 7 Floors),,,5 to 10 years,"₹50, 000",Vibhusha Bunglows,,"Garden/Park, Main Road",5 to 10 years,,,₹ 91.8 Lac - ₹ 1.44 Cr,,,"Provision for power backup,Aesthetically designed landscape garden,Fire Fighting Equipment,Security,Reserved Parking,Lift",,,"6 Towers , 211 Units",,,,,,,,,,,,,,,,,,
"4 BHK Flat 231 Sq-yrd For Rent in Goyal Intercity,","₹55,000","Memnagar, Ahmedabad",4.0,3.0,231sqyrdsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,Immediately,Furnished,"₹55,000","Memnagar, Ahmedabad - West, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/4-BHK-231-Sq-yrd-Multistorey-Apartment-FOR-Rent-Memnagar-in-Ahmedabad&id=4d423833373732313839,,,Goyal Intercity,5(Out of 10 Floors),,,,,,,,,,,₹ 2.10 Cr - ₹ 2.25 Cr,,,"Jogging and Strolling Track,Piped Gas,Conference Room,Bar/Lounge,Banquet Hall,RO Water System,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Power Back Up",,4 BHK Flats,,,,,,,,,10 Towers,,,,,,,,,,
"3 BHK Flat 1485 Sq-ft For Rent in Soham Dev Parijat,","₹23,000","Vaishnodevi Circle, Ahmedabad",3.0,3.0,,Immediately,Furnished,"₹23,000","Vaishnodevi Circle, Ahmedabad, Vaishnodevi Circle, Ahmedabad - North, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1485-Sq-ft-Multistorey-Apartment-FOR-Rent-Vaishnodevi-Circle-in-Ahmedabad&id=4d423833373835313031,,167sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹138/sqft,Soham Dev Parijat,5(Out of 7 Floors),,,5 to 10 years,"₹46, 000",,,,5 to 10 years,,,₹ 83.5 Lac - ₹ 8.35 Cr,Soham Group,"Puja Room, Study","Fire Fighting Equipment,Multipurpose Courts,Kids Play Area,Fire Sprinklers,CCTV Camera,Grand Entrance lobby,Earth quake resistant,Piped Gas,DTH Television Facility,Waste Disposal,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Gymnasium,Rain Water Harvesting,Lift,Power Back Up","₹ 3,569 - ₹ 3,582",3 BHK Flats,"4 Towers , 196 Units",1.0,1.0,,,,,,,,,,,,,,,,
"2 BHK Flat 900 Sq-ft For Rent in Anand I Life,","₹25,000","Zundal, Ahmedabad",2.0,2.0,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹28/sqft,Immediately,Semi-Furnished,"₹25,000","Zundal, Ahmedabad, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Zundal-in-Ahmedabad&id=4d423833373835353635,,,Anand I Life,7(Out of 11 Floors),,,,,,,,,,,₹ 65.0 Lac - ₹ 71.8 Lac,Anand Group,,,,,,,,,,,,,,", 478 Units",,,,,,,,,
"3 BHK Flat 2000 Sq-ft For Rent in Dwarkesh Antilia,","₹27,000","Motera, Ahmedabad",3.0,3.0,,,Furnished,"₹27,000|₹1,800Monthly Maintenance","D Block, Motera, Ahmedabad - North, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2000-Sq-ft-Multistorey-Apartment-FOR-Rent-Motera-in-Ahmedabad&id=4d423833373734303239,3.0,1890sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹14/sqft,Dwarkesh Antilia,3(Out of 7 Floors),East,,5 to 10 years,"₹54, 000",Decathlon Motera,,Main Road,5 to 10 years,,,₹ 85.0 Lac - ₹ 98.0 Lac,Padmanabh Developers,Store,"Fire Fighting Equipment,Cycling & Jogging Track,Activity Deck4,Retail Boulevard (Retail Shops),Kids Play Area,Event Space & Amphitheatre,Conference Room,Waste Disposal,Maintenance Staff,Visitor Parking,Service/Goods Lift,Water Storage,Security,Reserved Parking,Park,Gymnasium,Club House,Rain Water Harvesting,Lift,Power Back Up",,,"4 Towers , 89 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 2655 Sq-ft For Rent in Sheetal Aqua,","₹50,000","Shahibaug, Ahmedabad",3.0,3.0,2655sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,Immediately,Semi-Furnished,"₹50,000|₹4,000Monthly Maintenance","Shahibag, Ahmedabad, Shahibaug, Ahmedabad - Central, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-2655-Sq-ft-Multistorey-Apartment-FOR-Rent-Shahibaug-in-Ahmedabad&id=4d423832393632363631,2.0,,Sheetal Aqua,14(Out of 23 Floors),,,Less than 5 years,"₹50, 000",,,,Less than 5 years,,,₹ 2.69 Cr - ₹ 4.18 Cr,Sheetal Infrastructure Pvt. Ltd.,,"Fire Fighting Equipment,Indoor Squash & Badminton Courts,Indoor Games Room,Kids play area,CCTV Camera,Jogging and Strolling Track,Waste Disposal,Visitor Parking,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flats,"4 Towers , 140 Units",,,,,,,,,,,,,,,,,,
"2 BHK Flat 1069 Sq-ft For Rent in Safal Orchid Blues,","₹24,000","Shela, Ahmedabad",2.0,2.0,1069sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,,Semi-Furnished,"₹24,000","shela, Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1069-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423833373836343131,3.0,,Safal Orchid Blues,9(Out of 14 Floors),,,5 to 10 years,"₹48, 000",shela,,"Pool, Garden/Park",5 to 10 years,,,₹ 44.2 Lac - ₹ 66.2 Lac,Safal Goyal Realty LLP,,"Kids Play Area,Indoor Games Room,Mini Cinema Theatre,Security,Gymnasium,Swimming Pool,Lift,Power Back Up",,2 BHK Flats,"10 Towers , 672 Units",,,,,,,,,,,,,,,,,,
"3 BHK Flat 1475 Sq-ft For Rent in GSG Orchid Sky,","₹40,000","Shela, Ahmedabad",3.0,3.0,1475sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Immediately,Furnished,"₹40,000|₹3,000Monthly Maintenance","Shela, Ahmedabad, Shela, Ahmedabad - Ahmedabad Suburban, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1475-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423833343634303139,,,GSG Orchid Sky,14(Out of 14 Floors),East,2.0,Less than 5 years,"₹80, 000",,,,Less than 5 years,,,₹ 40.0 Lac - ₹ 78.9 Lac,GSG Abode LLP,,"Aesthetically designed landscape garden,Multipurpose Courts,Kids Play Area,Indoor Games Room,Multipurpose Hall,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up","₹ 5,061 - ₹ 5,085",3 BHK Flats,"4 Towers , 775 Units",1.0,1.0,,2.0,,,,,,,,,,,,,,
"3 BHK Flat 1890 Sq-ft For Rent in Mount Alaya Heights,","₹28,000","Jagatpur, Ahmedabad",3.0,3.0,,Immediately,Unfurnished,"₹28,000","Alaya belmonte, Charrodi, behind Nirma university, Jagatpur, Ahmedabad - North, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1890-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpur-in-Ahmedabad&id=4d423833373835303331,,1040sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,Mount Alaya Heights,7(Out of 14 Floors),,,New Construction,,,Vitrified,Main Road,New Construction,,,₹ 86.6 Lac - ₹ 1.10 Cr,Mount Group,Store,"Aesthetically designed landscape garden,Fire Fighting Equipment,Indoor Games Room,Kids play area,CCTV Camera,Multipurpose Hall,Large Open space,Earth quake resistant,Vaastu Compliant,Security,Reserved Parking,Park,Gymnasium,Rain Water Harvesting,Lift,Power Back Up",,3 BHK Flats,"3 Towers , 159 Units",1.0,,,,,,,,,,,,,,,,,
"3 BHK Flat 1372 Sq-ft For Rent in Godrej Garden City,","₹25,000","Godrej Garden City, Ahmedabad",3.0,3.0,,Immediately,Semi-Furnished,"₹25,000","Eden, Godrej Garden City, Chandkheda, Ahmedabad, Godrej Garden City, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1372-Sq-ft-Multistorey-Apartment-FOR-Rent-Godrej-Garden-City-in-Ahmedabad&id=4d423833373738353637,2.0,950sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,Godrej Garden City,12(Out of 12 Floors),,2.0,5 to 10 years,"₹50, 000",,Ceramic Tiles,"Garden/Park, Pool, Main Road",5 to 10 years,24 Hours Available,No/Rare Powercut,₹ 30.0 Lac - ₹ 1.0 Cr,,,,,,,,1.0,1.0,2.0,1 Covered,,,,,,,,,,,,,
"2 BHK Flat 800 Sq-ft For Rent in Jigar Apartment,","₹12,000","Bodakdev, Ahmedabad",2.0,,,Immediately,Semi-Furnished,"₹12,000|₹700Monthly Maintenance","Bodakdev, Bodakdev, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Bodakdev-in-Ahmedabad&id=4d423833373739333235,,800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹15/sqft,Jigar Apartment,2(Out of 4 Floors),,,,"₹24, 000",,,Main Road,,,,₹ 3.47 Cr - ₹ 4.50 Cr,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
1 BHK  130 Sq-ft For Rent in,"₹12,500","Tulsi Appartments Ambawadi, Ahmedabad",,,,Immediately,Furnished,"₹12,500","Ahmedabad, Gujarat",Furnished,https://www.magicbricks.com/propertyDetails/1-BHK-130-Sq-ft-Residential-House-FOR-Rent-in-Ahmedabad&id=4d423730353535353137,,130sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹96/sqft,,,East,,15 to 20 years,"₹12, 500",,,Main Road,15 to 20 years,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,
5 BHK  2000 Sq-ft For Rent in,"₹35,000","Hanspura, Ahmedabad",5.0,5.0,,Immediately,Unfurnished,"₹35,000","Akash Grand City, Hanspura, Ahmedabad - East, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/5-BHK-2000-Sq-ft-Villa-FOR-Rent-Hanspura-in-Ahmedabad&id=4d423833373837303937,,2000sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,,,East,,Less than 5 years,,Near Dmart,"Vitrified, Ceramic Tiles","Main Road, Garden/Park",Less than 5 years,,,,,"Servant Room, Study, Store, Puja Room",,,,,1.0,,,,,,,,,,,,,,,,,
"2 BHK Flat 1500 Sq-ft For Rent in Parth Indraprasth Tower,","₹25,000","Gurukul, Ahmedabad",2.0,2.0,,Immediately,Semi-Furnished,"₹25,000|₹1,000Monthly Maintenance","Sarkari Vasahat Road, Vastrapur, Ahmedabad, Gujarat, Gurukul, Ahmedabad - West, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Rent-Gurukul-in-Ahmedabad&id=4d423833343833333033,2.0,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹21/sqft,Parth Indraprasth Tower,5(Out of 13 Floors),North,2.0,,"₹44, 000",,,"Garden/Park, Main Road",Less than 5 years,,,₹ 75.0 Lac - ₹ 1.0 Cr,Simandhar Developers,"Puja Room, Store","Jogging and Strolling Track,Piped Gas,Security,Reserved Parking,Gymnasium,Lift,Power Back Up",,,,,1.0,,2.0,,,,4 Towers,,,,,,,,,,
2 BHK 1080 Sq-ft Flat/Apartment  For Rent in,"₹19,500","Sarkhej, Ahmedabad",2.0,2.0,1080sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹18/sqft,Immediately,Unfurnished,"₹19,500","Sarkhej, Ahmedabad - South, Gujarat",Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Rent-Sarkhej-in-Ahmedabad&id=4d423833373630343137,,,,13(Out of 14 Floors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 BHK Flat 642 Sq-ft For Rent in Ashapura Samanvay Skyview,","₹17,000","Tragad Road, Ahmedabad",2.0,2.0,642sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,,Semi-Furnished,"₹17,000","Chandkheda, Ahmedabad, Tragad Road, Ahmedabad - North, Gujarat",Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-642-Sq-ft-Multistorey-Apartment-FOR-Rent-Tragad-Road-in-Ahmedabad&id=4d423833373630373239,,,Ashapura Samanvay Skyview,4(Out of 11 Floors),,,Less than 5 years,,Tragad Road,,,Less than 5 years,24 Hours Available,,₹ 49.6 Lac - ₹ 57.0 Lac,Ashapura Buildcon LLP,,"Fire Fighting Equipment,Kids Play Area,Indoor Games Room,CCTV Camera,Earth quake resistant,Waste Disposal,Vaastu Compliant,Security,Gymnasium,Club House,Lift",,2 BHK Flat,"3 Towers , 252 Units",1.0,11.0,1.0,,1 Covered,,,,,,,,,,,,,
