Title,Rental_Price,Location,Beds,Baths,Balcony,Carpet Area,Developer,Project,Floor,Status,Facing,Furnished Status,Age Of Construction,Rental Value,Address,Landmarks,Furnishing,Flooring,Overlooking,Age of Construction,Amenities,Price,Price per sqft,Configuration,Tower & Unit,link,Super Built-up Area,Security Deposit,Balconies,Covered Parking,Additional Rooms,Lift,Car parking,Water Availability,Status of Electricity,Floors allowed for construction,Bed,Bath,Lifts,Unit,Tower,Authority Approval,Type of Ownership,RERA ID,Plot Area,No of Open Sides,Any Construction done,Boundary Wall,Transaction Type,Additional Features,Approved,Floors allowed,Floor allowed
6 BHK Residential House  For Rent,"₹65,000",White City Layout,6.0,4.0,,2800sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹23/sqft,,,,Immediately,East,Furnished,New Construction,"₹65,000","no 7 Anadhan nilayam segahalli, White City Layout, Bangalore - East, Karnataka",,Furnished,"Vitrified, Wooden, Marble, Granite",Garden/Park,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/6-BHK-3000-Sq-ft-Residential-House-FOR-Rent-White-City-Layout-in-Bangalore&id=4d423833373835353439,,,3.0,,"Puja Room, Study, Servant Room, Store",,,,,,,,,,,,,,,,,,,,,,
3 BHK Residential House  For Rent,"₹30,000","Amrutahalli, Bangalore",3.0,2.0,,1200sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹25/sqft,,,,,North,Semi-Furnished,5 to 10 years,"₹30,000","18th cross, 6th cross, swami Vivekanand layout amruthahalli bangalore, Amrutahalli, Bangalore - North, Karnataka",,Semi-Furnished,,,5 to 10 years,,,,,,https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Residential-House-FOR-Rent-Amrutahalli-in-Bangalore&id=4d423833373833343531,,,,,Puja Room,,,,,,,,,,,,,,,,,,,,,,
"1 BHK Flat 650 Sq-ft For Rent in Brigade Gateway,","₹14,000","Rajaji Nagar, Bangalore",,,1.0,650sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹22/sqft,Brigade Enterprises Ltd.,Brigade Gateway,4(Out of 20 Floors),Immediately,South - East,Furnished,Less than 5 years,"₹14,000|₹2,000Monthly Maintenance","Rajaji Nagar, Bangalore - Central, Karnataka",,Furnished,,"Pool, Garden/Park, Main Road",Less than 5 years,"Fire Fighting Equipment,Cycling & Jogging Track,Multipurpose Courts,Meditation Area,Kids Play Area,Indoor Squash & Badminton Courts,Indoor Games Room,Flower Gardens,Early Learning Centre,Jogging and Strolling Track,Cafeteria/Food Court,Bar/Lounge,Banquet Hall,DTH Television Facility,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Visitor Parking,Air Conditioned,Service/Goods Lift,Vaastu Compliant,Water Storage,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 2.47 Cr - ₹ 6.68 Cr,"₹ 15,549 - ₹ 16,089",3 BHK Flats,"13 Towers , 1200 Units",https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Rajaji-Nagar-in-Bangalore&id=4d423833373832353239,,"₹14, 000",,,"Puja Room, Store, Study, Servant Room",,,,,,1.0,1.0,,,,,,,,,,,,,,,
"2 BHK Flat 1081 Sq-ft For Rent in Arcade Royal,","₹35,000","Whitefield, Bangalore",2.0,2.0,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹39/sqft,,Arcade Royal,2(Out of 4 Floors),,North,Semi-Furnished,5 to 10 years,"₹35,000|₹20,000Monthly Maintenance","No 92 arcade royal appartment, 2nd main road, mythri layout near hopefarm junction whitefield banglore., Whitefield, Bangalore - East, Karnataka",,Semi-Furnished,,"Garden/Park, Main Road",5 to 10 years,,₹ 2.06 Cr - ₹ 2.74 Cr,,,,https://www.magicbricks.com/propertyDetails/2-BHK-1081-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423833373737383831,,₹1.8 Lac,2.0,,Puja Room,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹20,000",Chinnaswamappa Layout,2.0,2.0,1.0,1050sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹19/sqft,,,,,East,Unfurnished,,"₹20,000|₹500Monthly Maintenance","2MG5 JG2, Chinnaswamappa Layout, Ashirvad Colony, Horamavu, Bengaluru, Karnataka 560113, India, Chinnaswamappa Layout, Bangalore - East, Karnataka",,Unfurnished,,Main Road,,,,,,,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Residential-House-FOR-Rent-Chinnaswamappa-Layout-in-Bangalore&id=4d423833373737363937,,₹1.0 Lac,,,Puja Room,,,,,,,,,,,,,,,,,,,,,,
1 BHK 550 Sq-ft Flat/Apartment  For Rent in,"₹18,000","East of NGEF Layout, Bangalore",,,1.0,,,,Ground(Out of 5 Floors),,East,Semi-Furnished,New Construction,"₹18,000","East of NGEF Layout, Bangalore - Central, Karnataka",,Semi-Furnished,,,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-East-of-NGEF-Layout-in-Bangalore&id=4d423833373737393835,550sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹33/sqft,"₹75, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹15,000","AECS Layout-Singasandra, Bangalore",,,,400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,,,,,East,Semi-Furnished,New Construction,"₹15,000|₹1,500Monthly Maintenance","AECS Layout-Singasandra, Bangalore - South, Karnataka",,Semi-Furnished,,"Garden/Park, Main Road",New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-480-Sq-ft-Residential-House-FOR-Rent-AECS-Layout-Singasandra-in-Bangalore&id=4d423833373835313033,,"₹50, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"3 BHK Flat 1200 Sq-ft For Rent in The Mark Apartments,","₹30,000","Ramamurthy Nagar, Bangalore",3.0,3.0,1.0,1150sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹26/sqft,,The Mark Apartments,2(Out of 4 Floors),Immediately,South,Semi-Furnished,New Construction,"₹30,000","Ramamurthy Nagar, Bangalore - East, Karnataka",,Semi-Furnished,,Main Road,New Construction,,₹ 85.2 Lac - ₹ 1.08 Cr,,,"1 Tower , 12 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Ramamurthy-Nagar-in-Bangalore&id=4d423833373830373935,,,,,Puja Room,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1775 Sq-ft Flat/Apartment  For Rent in,"₹80,000","Whitefield, Bangalore",3.0,3.0,,,,,7(Out of 14 Floors),,,Semi-Furnished,Less than 5 years,"₹80,000|₹7,455Monthly Maintenance","Whitefield, Bangalore - East, Karnataka",,Semi-Furnished,,,Less than 5 years,,,,,,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423833373734313639,1775sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹45/sqft,₹3.0 Lac,2.0,,,,,,,,,,,,,,,,,,,,,,,,
3 BHK 1708 Sq-ft Flat/Apartment  For Rent in,"₹52,000","Rayasandra Main Road, Bangalore",3.0,3.0,1.0,,,,6(Out of 14 Floors),,East,Semi-Furnished,Less than 5 years,"₹52,000","SJR Parkway Homes, Rayasandra Main Road, Rayasandra Bangalore 560099, Rayasandra Main Road, Bangalore - South, Karnataka",,Semi-Furnished,,"Garden/Park, Main Road",Less than 5 years,,,,,,https://www.magicbricks.com/propertyDetails/3-BHK-1708-Sq-ft-Multistorey-Apartment-FOR-Rent-Rayasandra-Main-Road-in-Bangalore&id=4d423833373737393237,1708sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,,,,Study,,,,,,,,,,,,,,,,,,,,,,
"450 Sq-ft For Rent in Sizzle Serenity Woods,","₹15,000","Hoodi, Bangalore",,,1.0,400sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹38/sqft,Sizzle Properties,Sizzle Serenity Woods,4(Out of 4 Floors),Immediately,West,Furnished,New Construction,"₹15,000","Hoodi, Hoodi, Bangalore - East, Karnataka","Sizzle Serenity Woods society, 5 minutes from Hoodi and ITPL Main Road",Furnished,Ceramic Tiles,Main Road,New Construction,"Indoor Games Room,Kids play area,CCTV Camera,Security,Park,Gymnasium,Club House",₹ 1.32 Cr - ₹ 1.86 Cr,,,,https://www.magicbricks.com/propertyDetails/450-Sq-ft-Studio-Apartment-FOR-Rent-Hoodi-in-Bangalore&id=4d423833373832333633,,"₹50, 000",,,,,,,,4.0,,1.0,,", 217 Units",,,,,,,,,,,,,
"2 BHK Flat 971 Sq-ft For Rent in Eden Park At The Prestige City,","₹45,000","Sarjapur, Bangalore",2.0,2.0,,,Prestige Group,Eden Park At The Prestige City,9(Out of 29 Floors),Immediately,,Semi-Furnished,,"₹45,000","Sarjapur, Bangalore - South, Karnataka",,Semi-Furnished,,,,"Jogging and Strolling Track,Banquet Hall,Waste Disposal,Security,Reserved Parking,Park,Gymnasium,Swimming Pool,Club House,Lift,Power Back Up",₹ 75.0 Lac - ₹ 1.25 Cr,"₹ 10,870 - ₹ 16,993","1, 2 BHK Flats",,https://www.magicbricks.com/propertyDetails/2-BHK-971-Sq-ft-Multistorey-Apartment-FOR-Rent-Sarjapur-in-Bangalore&id=4d423833373834353133,971sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹46/sqft,,,,,,,,,,,,,", 2217 Units",,,,,,,,,,,,,
1 BHK Residential House  For Rent,"₹7,500",Sreeramanahalli,,,1.0,700sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹11/sqft,,,,,North,Unfurnished,Less than 5 years,"₹7,500","Sreeramanahalli, Bangalore - North, Karnataka",Sreeramanahalli milk dairy,Unfurnished,,Main Road,Less than 5 years,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Residential-House-FOR-Rent-Sreeramanahalli-in-Bangalore&id=4d423833373737383533,,₹4.1 Lac,,,"Puja Room, Study",,,,,,1.0,1.0,,,,,,,,,,,,,,,
"2 BHK Flat 1185 Sq-ft For Rent in GS LNS Pride,","₹35,000","Kothanur, Bangalore",2.0,2.0,1.0,1185sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹30/sqft,,GS LNS Pride,1(Out of 4 Floors),Immediately,East,Semi-Furnished,,"₹35,000","Hennur Main Road, Bangalore., Kothanur, Bangalore - North, Karnataka","Well connected, mainroad locale prime locale, seamless access",Semi-Furnished,"Ceramic Tiles, Vitrified",Pool,5 to 10 years,,₹ 1.10 Cr - ₹ 1.28 Cr,,,,https://www.magicbricks.com/propertyDetails/2-BHK-1185-Sq-ft-Multistorey-Apartment-FOR-Rent-Kothanur-in-Bangalore&id=4d423833373835353137,,₹2.0 Lac,,1.0,Store,1.0,1 Covered,24 Hours Available,No/Rare Powercut,1.0,,,,,,,,,,,,,,,,,
1 BHK 500 Sq-ft Flat/Apartment  For Rent in,"₹12,000","RK Township, Bangalore",,,,450sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹27/sqft,,,1(Out of 5 Floors),Immediately,,Semi-Furnished,New Construction,"₹12,000|₹1,000Monthly Maintenance","RK Township, Bangalore - South, Karnataka",,Semi-Furnished,,,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-RK-Township-in-Bangalore&id=4d423833373738353937,,"₹50, 000",,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
"2 BHK Flat 1268 Sq-ft For Rent in Damden Sienna,","₹41,000","Brookefield, Bangalore",2.0,2.0,,,Damden Properties,Damden Sienna,1(Out of 4 Floors),Immediately,North,Semi-Furnished,15 to 20 years,"₹41,000|₹2,800Monthly Maintenance","near Kalyani Tech park, near to Double tree hotel, Brookefield, Brookefield, Bangalore - East, Karnataka",,Semi-Furnished,,,15 to 20 years,,Call For Price,,2 BHK Flat,,https://www.magicbricks.com/propertyDetails/2-BHK-1268-Sq-ft-Multistorey-Apartment-FOR-Rent-Brookefield-in-Bangalore&id=4d423833373735343931,1268sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹32/sqft,₹2.0 Lac,3.0,,Store,,,,,,,,,,1 Tower,,,,,,,,,,,,
"3 BHK Flat 1615 Sq-ft For Rent in Sumadhura Anandam,","₹60,000","Whitefield, Bangalore",3.0,3.0,,,Sumadhura Infracon Pvt. Ltd.,Sumadhura Anandam,8(Out of 8 Floors),Immediately,,Semi-Furnished,5 to 10 years,"₹60,000|₹6,500Monthly Maintenance","borewell road, Whitefield, Bangalore - East, Karnataka",,Semi-Furnished,,,5 to 10 years,"Fire Fighting Equipment,Kids Play Area,Indoor Squash & Badminton Courts,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,Waste Disposal,Maintenance Staff,Intercom Facility,Vaastu Compliant,Private Terrace/Garden,Water Storage,Security,Park,Gymnasium,Swimming Pool,Club House,Rain Water Harvesting,Lift,Power Back Up",₹ 1.20 Cr - ₹ 1.90 Cr,"₹ 12,109 - ₹ 14,909",2 BHK Flats,"5 Towers , 151 Units",https://www.magicbricks.com/propertyDetails/3-BHK-1615-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423833373832363031,1615sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹37/sqft,₹2.5 Lac,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2 BHK Residential House  For Rent,"₹50,000","Block 3rd Koramangala, Bangalore",2.0,2.0,,900sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹56/sqft,,,,Immediately,,Furnished,New Construction,"₹50,000","30 2main ashwini layout ejipura bangalore 47, Block 3rd Koramangala, Bangalore - Central, Karnataka",,Furnished,,,New Construction,,,,,,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Residential-House-FOR-Rent-Koramangala-Block-3-in-Bangalore&id=4d423833373738383631,,₹1.8 Lac,2.0,,,,,,,,,,,,,,,,,,,,,,,,
